hVD GTC	一代
CrD jRK	白話
CrD NyB	白酒
CrD IuB	白領
CrD GzA	白頭
CrD AZD	白髮
ArD QuC	百姓
ArD HgA	百年
ArD ilK	百貨
EvD UHB	的士
EvD eED	的確
jqI aVD	皇室
jqI dnA	皇家
jqI EMC	皇帝
CFE PxA	皮層
CFE fyA	皮球
CFE QpA	皮箱
CFE AKA	皮膚
SyC DGE	皺眉
CaA GGC	盆地
CaA NHB	盆子
luA IGC	盈利/贏利
luA lJA	盈餘
huT JFC	益智
GkC AdB	盜版
GkC lDC	盜用
GkC OgD	盜竊
GkC PxD	盜賊
CcA DXC	盤問
CcA QcJ	盤算
CcA dJC	盤踞
DBD dqI	目光
DBD PgA	目前
DBD dvD	目擊
DBD EvD	目的
DBD QAC	目送
DrA DBD	盲目
DrA E5B	盲點
LwD dvC	直徑
LwD N4D	直接
LwD I1D	直立
LwD QfC	直線
LwD XGC	直至
LwD FAA	直通
LwD DfC	直面
QpA jLC	相互
QpA RHB	相似
QpA LfI	相傳
QpA GAA	相同
QpA hwC	相應
QpC dIA	相機
QpA AGB	相比
QpC BgC	相片
QpA CKA	相符
QpA YJB	相處
QpC DjC	相貌
QpA FAA	相通
QpA CDA	相逢
QpA IVA	相鄰
QpA IGK	相類
DGE kKB	眉宇
DGE VjA	眉梢
DGE DBD	眉目
DGE GzA	眉頭
ecA ayB	看守
S6D geB	眨眼
dfO IfK	眷戀
dfO dLC	眷顧
geB PgA	眼前
geB EMB	眼底
geB IGK	眼淚
geB fyA	眼球
geB dQC	眼界
geB CFE	眼皮
geB epI	眼眶
geB d4F	眼瞼
geB bVA	眼神
geB I4A	眼簾
geB JjC	眼罩
geB dsC	眼鏡
ZFK DgA	睡眠
ZFK GTC	睡袋
ZFK djC	睡覺
ECD TeD	督察
ECD GkC	督導
N4D DkA	睫毛
lNK JFC	睿智
idD NHB	瞎子
aVK deC	瞬間
GAA eAB	瞳孔
XDD DBD	矚目
DyA GzA	矛頭
JFA DuQ	知名
JFA dHB	知己
JFA Q1A	知心
JFA QVD	知悉
JFA PuA	知情
JFA GkB	知道
JFA h1E	知音
EcJ QVC	短信/短訊
EcJ P3C	短暫
EcJ fHA	短期
EcJ BgC	短片
EcJ QfC	短線
EcJ BjB	短跑
hPB QiB	矮小
diF fZC	矯健
ZuD RpB	石像
ZuD exD	石刻
ZuD AdB	石板
ZuD DfA	石棉
ZuD IyA	石榴
ZuD lyA	石油
ZuD iSI	石灰
ZuD AFE	石碑
ZuD eaL	石窟
ZuD dQA	石階
ZuD EhA	石雕
ZuD GzA	石頭
VnA GqA	砂糖
ggC AZD	研發
ggC dyC	研究
ggC R1D	研習
ggC XNC	研製
ggC FkB	研討
ggC GAD	研讀
J1A AdB	砧板
BlC INC	破例
BlC QaJ	破損
BlC ihB	破曉
BlC hcC	破案
BlC DfD	破滅
BlC LeC	破綻
BlC IfD	破裂
BlC DaA	破門
gtC CNC	硬幣
gtC QuC	硬性
gtC IqB	硬朗
QSK BgC	碎片
QSK ZuD	碎石
AFE DXA	碑文
AFE I1A	碑林
AFE dHC	碑記
AsD I3A	碧藍
ZuD UHB	碩士
eED AkB	確保
eED GvC	確定
eED bVD	確實
eED I1D	確立
DnB GzA	碼頭
ISJ IqD	磊落
drJ LpA	礦場
drJ dAA	礦工
drJ DXD	礦物
ZoB djA	社交
ZoB GcI	社團
fIA fyA	祈求
fIA ABD	祈福
NLB dxL	祖國
NLB NCA	祖宗
NLB DzB	祖母
NLB PuD	祖籍
bVA RHB	神似
bVA kGK	神位
bVA RpB	神像
bVA jED	神學
bVA XyA	神州
bVA DiG	神廟
bVA PuA	神情
bVA FTC	神態
bVA DsA	神明
bVA JFC	神智
bVA GAA	神童
bVA auC	神聖
bVA VwD	神色
bVA jRK	神話
bVA IvA	神靈
bVA kXK	神韻
bVA e2A	神龕
RHA GqA	祠堂
BiC dnC	票價
jlJ dbA	禍根
ABD IGC	福利
ABD KHB	福祉
IMB gFE	禮儀
IMB XNC	禮制
IMB eGG	禮器
IMB GqA	禮堂
IMB CBD	禮服
IMB DXD	禮物
IMB cpC	禮讓
IMB DjC	禮貌
IMB gKC	禮遇
f1E EhB	禽鳥
QyC DGF	秀美
QGA cVA	私人
QGA dnA	私家
QGA kyB	私有
QGA luI	私營
QGA I1D	私立
AsB ZwA	秉承
AsB LHA	秉持
OyA FgA	秋天
OyA dGK	秋季
elI jeK	科幻
elI DBD	科目
NLA lDC	租用
NLA dQC	租界
NLA M1C	租賃
NLA d1E	租金
LVD RJB	秩序
lFA djA	移交
lFA GAB	移動
lFA VGA	移師
lFA DVA	移民
iIA kyB	稀有
iIA CqD	稀薄
iIA auD	稀釋
aNK XNC	稅制
aNK DKC	稅務
aNK ecJ	稅款
aNK A9D	稅法
LuA awD	程式
VjC DIA	稍微
VjC VjC	稍稍
A1F AkC	稟報
A1F AKC	稟賦
LyA DVH	稠密
XDB NHB	種子
XDB PAD	種族
XDC ZwD	種植
GkB dAD	稻穀
GkB DMB	稻米
dAD DXD	穀物
NuD AXA	積分
haJ fZC	穩健
haJ dLC	穩固
haJ FlJ	穩妥
haJ GvC	穩定
haJ CLC	穩步
dyC dsC	究竟
eAA JBA	空中
eAC kGK	空位
eAC GGC	空地
eAA GGC	空地
eAA NoB	空姐
eAA eqK	空曠
eAC CrD	空白
eAC efL	空缺
eAA dXI	空軍
eAA kXK	空運
eAA deA	空閒
GaL dvD	突擊
GaL cfA	突然
GaL AZD	突發
GaL BlC	突破
GaL R1D	突襲
GaL AfG	突變
GaL eHB	突起
JVD QwD	窒息
fBA cVA	窮人
fBA eaK	窮困
eFI F2A	窺探
ehC DaA	竅門
I1D djA	立交
I1D exD	立刻
I1D NwD	立即
I1D LpA	立場
I1D XHC	立志
I1D ZHA	立時
I1D A9D	立法
I1D FMB	立體
J6C I1D	站立
dsC cfA	竟然
XpA LuA	章程
XpA NgD	章節
OVI dAA	竣工
GAA Q1A	童心
GAA SpA	童裝
GAA jRK	童話
GAA dXI	童軍
EcI gMA	端倪
EcI SpA	端莊
fsC fFF	競技
fsC StA	競爭
fsC QTC	競賽
fsC LBD	競逐
AVH DuQ	筆名
AVH DxD	筆墨
AVH A9D	筆法
AVH XoB	筆者
AVH YDD	筆觸
AVH dHC	筆記
ExB dnC	等價
ExB EkC	等到
ExB GAA	等同
ExB d1H	等級
dYA daL	筋骨
E2D hwC	答應
E2D hcC	答案
E2D RoC	答謝
E2D CfF	答辯
TtD GAB	策動
TtD IpD	策略
lfA RuD	筵席
dcJ XNC	管制
dcJ aDD	管束
dcJ IHB	管理
dcJ jdD	管轄
dcJ GkB	管道
NfC GzA	箭頭
QpA NHB	箱子
NgD f4F	節儉
NgD XNC	節制
NgD NzC	節奏
NgD BrD	節拍
NgD cVD	節日
NgD IyA	節流
NgD DBD	節目
NgD VsB	節省
C9B INC	範例
C9B AaB	範本
C9B LyA	範疇
BfA XpA	篇章
TdK kGK	篡位
ECD QVC	篤信
ECD GvC	篤定
OAD hDB	簇擁
OAD QVA	簇新
deB dQC	簡介
deB inK	簡化
deB AkC	簡報
deB lFC	簡易
deB IvD	簡歷
deB dgD	簡潔
deB IpD	簡略
deB LwD	簡直
deB QVC	簡訊
deB bVL	簡述
I3A AdB	籃板
I3A fyA	籃球
LyA CGG	籌備
LyA jtL	籌劃
LyA DLC	籌募
LyA OLC	籌措
LyA ecJ	籌款
LyA DnB	籌碼
LyA NGA	籌資
LyA CeC	籌辦
LyA P1D	籌集
DMB eqA	米糠
DMB QfC	米線
AXB DcD	粉末
AXB QSK	粉碎
AXB AVH	粉筆
AXB jAA	粉紅
AXB QHA	粉絲
AXB awD	粉飾
I1D NHB	粒子
PLB RDD	粗俗
PLB SpC	粗壯
PLB IpD	粗略
PLB OkC	粗糙
PLB jRK	粗話
PLB jkA	粗豪
PLB AGF	粗鄙
NuA IwD	精力
NuA DiC	精妙
NuA NHB	精子
NuA DVH	精密
NuA OTB	精彩
NuA Q1A	精心
NuA eED	精確
NuA bVA	精神
NuA QGK	精粹
NuA hsA	精英
NuA SpA	精裝
NuA CuT	精闢
NuA QFJ	精髓
jLA ezB	糊口
jLA GLA	糊塗
GqA dlJ	糖果
OkC DMB	糙米
IpA OkB	糧草
jMC FCC	系統
d0B TeD	糾察
d0B BXA	糾紛
dHB IVL	紀律
dHB H5C	紀念
jAA IGC	紅利
jAA AjA	紅包
jAA LVA	紅塵
jAA fHA	紅旗
jAA cVK	紅潤
jAA LiA	紅潮
jAA ilJ	紅火
jAA ExA	紅燈
jAA XDB	紅腫
jAA VwD	紅色
jAA GzC	紅豆
jAA dXI	紅軍
DXC IcK	紊亂
DXA IHB	紋理
DXA awD	紋飾
H2D c1D	納入
H2D aNK	納稅
H2D QGK	納粹
XFB dVE	紙巾
XFB CNC	紙幣
XFB GhA	紙條
XFB QpA	紙箱
d1H CfH	級別
BXA IcK	紛亂
BXA StA	紛爭
BXA kXI	紛紜
BXA AIA	紛飛
QLC ITA	素來
QLC PTA	素材
QLC OTC	素菜
QLC XVD	素質
NFB OTC	紫菜
QMC NxD	細則
QMC HaK	細嫩
QMC DVH	細密
QMC QiB	細小
QMC DIA	細微
QMC Q1A	細心
QMC QSK	細碎
QMC NgD	細節
QMC LGC	細緻
QMC MGC	細膩
XBA HgA	終年
XBA cVD	終日
XBA fwD	終極
XBA XHB	終止
XBA dyC	終究
XBA EcI	終端
XBA dgD	終結
XBA aVA	終身
NLB dZC	組建
NLB ZuA	組成
dgD iaI	結婚
dgD PaI	結存
dgD bVD	結實
dgD fDD	結局
dgD AQC	結拜
dgD NuA	結晶
dgD aDD	結束
dgD dlJ	結果
dgD jtD	結核
dgD hcC	結案
dgD g8D	結業
dgD dzC	結構
dgD QcJ	結算
dgD lJA	結餘
PfL IVI	絕倫
PfL ESK	絕對
PfL PuA	絕情
PfL fFF	絕技
PfL XiA	絕招
PfL VwD	絕色
PfL NuD	絕跡
IqD luD	絡繹
igK IcC	絢爛
d1H lJB	給予
FCC hVD	統一
FCC LyA	統籌
FCC dMC	統計
FCC IuB	統領
QHA jkA	絲毫
QHA dnI	絲瓜
dvA dlI	經過
NCC gNC	綜藝
IDD inK	綠化
IDD XyA	綠洲
IDD ExA	綠燈
IDD GzC	綠豆
lGI QyA	維修
lGI LHA	維持
lGI QVA	維新
lGI jLC	維護
dqA IuB	綱領
DpB kyB	網友
DpB XHB	網址
DpB fyA	網球
DpB J6C	網站
DpB IlA	網羅
DpB ILC	網路
DpB E5B	網點
dVB DVH	緊密
dVB d1H	緊急
dVB OzC	緊湊
d6A DxD	緘默
QfC ZpC	線上
QfC GhA	線條
QfC ILC	線路
lfI dLC	緣故
jcJ jvA	緩刑
jcJ d1H	緩急
jcJ DdC	緩慢
jcJ CLC	緩步
jcJ YDA	緩衝
DfB jQI	緬懷
IgC dAA	練功
IgC R1D	練習
VBD QiB	縮小
VBD hsB	縮影
VBD d6B	縮減
VBD EcJ	縮短
NDC VHB	縱使
NDA ipC	縱向
NDC PuA	縱情
NvD jjC	績效
bwA NHB	繩子
jOK XNC	繪製
dMC ZwA	繼承
dMC RDD	繼續
dMC cHA	繼而
BVA BXA	繽紛
Q4A VyC	纖瘦
Q4A QMC	纖細
Q4A lGI	纖維
PSJ cVA	罪人
PSJ DuQ	罪名
PSJ hcC	罪案
PSJ C9B	罪犯
PSJ jrC	罪行
JHC aVA	置身
CZD ecJ	罰款
IFA jdK	罹患
lpA DkA	羊毛
DGF cVA	美人
DGF gZI	美元
DGF inK	美化
DGF DIC	美味
DGF DiC	美妙
DGF jED	美學
DGF lDA	美容
DGF d2B	美感
DGF dsB	美景
DGF bVL	美術
DGF DjC	美貌
DGF NyB	美酒
IvA lpA	羚羊
QyA e8D	羞怯
QyA V1D	羞澀
QyA cDD	羞辱
gFG DKC	義務
gFG DPC	義賣
aFC CqA	翅膀
lwD HgA	翌年
lwD cVD	翌日
R1D RDD	習俗
R1D PHC	習字
R1D QuC	習性
R1D ddK	習慣
CIC OGK	翡翠
fiA TJB	翹楚
BZA QyA	翻修
BZA QVA	翻新
BZA AdB	翻版
BZA luD	翻譯
BZA aVA	翻身
BZA lfL	翻閱
IkB cVA	老人
IkB ClA	老婆
IkB NHB	老子
IkB bVD	老實
IkB VGA	老師
IkB HgA	老年
IkB awD	老式
IkB ZuA	老成
IkB iLB	老虎
IkB aJB	老鼠
ekB fYA	考勤
ekB dLB	考古
ekB LpA	考場
ekB TeD	考察
ekB IJC	考慮
ekB dJC	考據
ekB VsA	考生
ekB dyC	考究
ekB NvD	考績
ekB aHC	考試
ekB XwC	考證
ekB g4G	考驗
HTC dyB	耐久
HTC Q1A	耐心
HTC QuC	耐性
HTC cfD	耐熱
dtA GGC	耕地
dtA kXI	耕耘
cHB ElJ	耳朵
cHB dIA	耳機
cHB jdI	耳環
cHB DBD	耳目
loA QLA	耶穌
IvA QVC	聆訊
auC cVA	聖人
auC GGC	聖地
auC DzB	聖母
auC dgD	聖潔
auC aHA	聖詩
auC GcB	聖誕
BuS aJA	聘書
BuS lDC	聘用
auA DuQ	聲名
auA EOC	聲帶
auA DsA	聲明
auA gZA	聲言
auA GhC	聲調
auA h1E	聲音
auA ipB	聲響
QDB I1D	聳立
XwD kGK	職位
XwD DKC	職務
XwD kXI	職員
XwD LpA	職場
XwD dAA	職工
XwD g8D	職業
XwD ffM	職權
XwD d1H	職級
XwD StD	職責
lGC g8D	肄業
QBD DBD	肅穆
QGC hHC	肆意
QGC gpD	肆虐
cBD geB	肉眼
cBD FMB	肉體
cBD DnA	肉麻
IxD daL	肋骨
dGE cBD	肌肉
dGE AKA	肌膚
dcA k4A	肝炎
dLB AVE	股份
dLB ZHB	股市
dLB QwD	股息
dLB AaB	股本
dLB EAA	股東
dLB ffM	股權
dLB DVA	股民
XFA FMB	肢體
CIA cBD	肥肉
dgA CqA	肩膀
dgA CyB	肩負
exB GvC	肯定
BUC k4A	肺炎
kIK ezB	胃口
kIK luD	胃液
kIK k4A	胃炎
jLA GkA	胡桃
jLA NiA	胡椒
jLA f1E	胡琴
hgA XGA	胭脂
dqD BqD	胳膊
GAC FMB	胴體
CaD NHB	脖子
CKB cKB	腐乳
CKB iyB	腐朽
CKB bwD	腐蝕
HkB NHB	腦子
HkB iTB	腦海
HkB dYA	腦筋
HkB GTC	腦袋
XDB IyC	腫瘤
XDB JpC	腫脹
hiA S6B	腰斬
hiA dlJ	腰果
hiA LGI	腰椎
dpD hVC	腳印
dpD N4A	腳尖
dpD XpB	腳掌
dpD AdB	腳板
dpD CLC	腳步
dpD XHB	腳趾
dpD dbA	腳跟
dpD jnJ	腳踝
AKA OfB	膚淺
AKA VwD	膚色
E3B NHB	膽子
E3B awD	膽識
PMA EOC	臍帶
I3D LpA	臘腸
glK aVD	臥室
glK EMB	臥底
PGC XKB	自主
PGC QVC	自信
PGC QyA	自修
PGC CGG	自備
PGC XNC	自制
PGC UJC	自助
PGC GAB	自動
PGC AFA	自卑
PGC DXC	自問
PGC JjA	自嘲
PGC dnA	自家
PGC NaI	自尊
PGC dHB	自己
PGC fpA	自強
PGC IVL	自律
PGC ExD	自得
PGC glB	自我
PGC PcA	自殘
PGC VeD	自殺
PGC cfA	自然
PGC lyA	自由
PGC AZD	自發
PGC QGA	自私
PGC I1D	自立
PGC d1H	自給
PGC NgC	自薦
PGC jkA	自豪
PGC CyB	自負
PGC aVA	自身
PGC gZK	自願
XGC d1E	至今
XGC NaI	至尊
XGC aiB	至少
XGC OFB	至此
JGC IwD	致力
JGC DsC	致命
JGC AyC	致富
JGC hHC	致意
JGC dsC	致敬
JGC RoC	致謝
JGC RHA	致辭
JGC GgC	致電
fyB DLB	舅媽
fyB fyB	舅舅
dJB INC	舉例
dJB GAB	舉動
dJB AkC	舉報
dJB dnA	舉家
dJB ayB	舉手
dJB OLC	舉措
dJB XHB	舉止
dJB XwC	舉證
dJB CeC	舉辦
fyC cVD	舊日
fyC ZHA	舊時
bfD GzA	舌頭
aJA CBD	舒服
aJA jcJ	舒緩
DKB fsD	舞劇
DKB GAB	舞動
DKB NGA	舞姿
DKB eDD	舞曲
DKB CLC	舞步
DKB GTA	舞臺
DKB GkC	舞蹈
jqA OGC	航次
jqA iTB	航海
jqA AdA	航班
jqA LuA	航程
jqA eAA	航空
jqA QfC	航線
jqA kXK	航運
jqA GkB	航道
bfI kXI	船員
bfI hLB	船塢
bfI CrD	船舶
bfI XuD	船隻
j7B GSK	艦隊
IpA Q1A	良心
IpA QuC	良性
IpA dIA	良機
IpA JFA	良知
deA fJB	艱巨
deA QVA	艱辛
VwD OTB	色彩
VwD PuA	色情
VwD LrD	色澤
VwD DrA	色盲
VwD QLC	色素
ZpD lpD	芍藥
CKA lDA	芙蓉
XHA DnA	芝麻
BXA BpA	芬芳
AnA NiA	芭蕉
AnA ISJ	芭蕾
inI PAA	花叢
inI kZI	花園
inI ALC	花布
inI EcC	花旦
inI ElJ	花朵
inI NiA	花椒
inI ExA	花燈
inI CeC	花瓣
inI CvA	花瓶
inI VsA	花生
inI CrD	花白
inI CaA	花盆
inI AXB	花粉
inI jAA	花紅
inI DXA	花紋
inI VwD	花色
inI LnA	花茶
inI OkB	花草
inI ISJ	花蕾
inI DVD	花蜜
inI BIC	花費
BpA ipA	芳香
fYA OTC	芹菜
DiE GhA	苗條
jlA exD	苛刻
hsA lDB	英勇
hsA YuD	英尺
hsA BqA	英鎊
hsA kBA	英雄
DqA cfA	茫然
jSI ipA	茴香
LnA fKC	茶具
LnA dGF	茶几
LnA jLA	茶壺
LnA ASA	茶杯
LnA IzA	茶樓
LnA SpA	茶莊
LnA gNC	茶藝
LnA GkB	茶道
LnA E5B	茶點
OkB gZI	草原
OkB GLA	草圖
OkB GGC	草地
OkB CsA	草坪
OkB LpA	草場
OkB gHB	草擬
OkB aJA	草書
OkB DAD	草木
OkB dbA	草根
OkB hcC	草案
OkB CFE	草皮
OkB lpD	草藥
iqI DqD	荒漠
iqI DKA	荒蕪
jlA inI	荷花
CaD PGA	荸薺
SpA g8A	莊嚴
SpA kZI	莊園
SpA dnA	莊家
SpA dnC	莊稼
DqD DuQ	莫名
DqD AIA	莫非
dBD inI	菊花
OTC EkA	菜刀
OTC ALB	菜譜
OTC dcK	菜館
jnI fiE	華僑
DtA VsA	萌生
DtA AZD	萌發
DtA gnA	萌芽
DZC hVD	萬一
DZC PfI	萬全
DZC HgA	萬年
DZC DXD	萬物
IqD GGC	落地
IqD DqD	落寞
IqD bVD	落實
IqD ZuA	落成
IqD IGK	落淚
IqD eAA	落空
IqD AVH	落筆
IqD dpD	落腳
IqD DnB	落馬
JJC DuQ	著名
DAA ZyB	蒙受
DAA QyA	蒙羞
DAA ANC	蒙蔽
XwA AZD	蒸發
CAA CaD	蓬勃
IgA NHB	蓮子
IgA inI	蓮花
XoC GqA	蔗糖
VJA dlJ	蔬果
VJA OTC	蔬菜
CqD cpD	薄弱
CqD BgC	薄片
CqD DKC	薄霧
CqD AuR	薄餅
hOK PGK	薈萃
QVA aGJ	薪水
QVA ZyA	薪酬
QVA d1E	薪金
ZJC GhA	薯條
ZJC BgC	薯片
I3A GLA	藍圖
I3A AaB	藍本
PqA B1F	藏品
gNC cVA	藝人
gNC bVL	藝術
lpD jcI	藥丸
lpD B1F	藥品
lpD DXD	藥物
lpD lDC	藥用
lpD ZfC	藥膳
lpD OkB	藥草
hXI j2A	蘊含
CVA dlJ	蘋果
IlA CxD	蘿蔔
gpD GTB	虐待
ffE ZuA	虔誠
YJB ApA	處方
YJB hJA	處於
YJB IHB	處理
YJB JHC	處置
eFM QaJ	虧損
eFM AaB	虧本
eFM e8C	虧欠
DXA NHB	蚊子
eyA lVB	蚯蚓
XKC gnA	蛀牙
DVD gZL	蜜月
DVD GkA	蜜桃
DVD NkB	蜜棗
DVD BDA	蜜蜂
QvD luD	蜥蜴
AgA ABD	蝙蝠
jnA cVA	蝦仁
jnA DMB	蝦米
lBA c1D	融入
lBA NGA	融資
IlI QHA	螺絲
jPB jqI	蟹黃
I3D XDD	蠟燭
dLB jxL	蠱惑
igL luD	血液
igL NpA	血漿
igL dcJ	血管
igL GqA	血糖
igL FCC	血統
igL lfI	血緣
igL XGA	血脂
jrA UHC	行事
jrA cVA	行人
jqA IfD	行列
jrA GAB	行動
jqA PuA	行情
jrA XuC	行政
jrA QvA	行星
jrA IHB	行李
jqA g8D	行業
jrA kFI	行爲
jrA NzB	行走
jrA NDA	行蹤
jrA YoA	行車
jrA QiA	行銷
YDA GAB	衝動
YDA dvD	衝擊
YDA BlC	衝破
YDA GaL	衝突
AiF isI	表兄
AiF DSC	表妹
AiF NoB	表姐
AiF PxA	表層
AiF XpA	表彰
AiF PuA	表情
AiF FTC	表態
AiF lpA	表揚
AiF DsA	表明
AiF lfB	表演
AiF jgC	表現
AiF CrD	表白
AiF CFE	表皮
AiF bVL	表述
AiF ILC	表露
AiF DfC	表面
GTC aJB	袋鼠
RyC ezB	袖口
IfD jbA	裂痕
ALB YBA	補充
ALB UJC	補助
ALB B1F	補品
ALB d1H	補給
ALB R1D	補習
ALB F5D	補貼
SpA AeC	裝扮
SpA JHC	裝置
SpA afD	裝設
SpA kXK	裝運
SpA awD	裝飾
XNC CGG	製備
XNC B1F	製品
ABD P2D	複雜
QfD GAD	褻瀆
TWC V7A	襯衫
R1D dvD	襲擊
QMA AxD	西北
QMA H2A	西南
QMA dnI	西瓜
hiA fyA	要求
ByC dOC	覆蓋
dFI INC	規例
dFI NxD	規則
dFI jtL	規劃
dFI GvC	規定
dFI IVL	規律
dFI DLA	規模
dFI dKB	規矩
dFI XpA	規章
dFI C9B	規範
dGG lKA	覬覦
dcI dqI	觀光
dcI d2B	觀感
dcI DpC	觀望
dcI ecC	觀看
dcI XBC	觀衆
dED IwD	角力
dED VwD	角色
dED IqD	角落
dED LBD	角逐
YDD GAB	觸動
YDD f1H	觸及
YDD C9B	觸犯
YDD AZD	觸發
YDD GgC	觸電
gZA RHA	言辭
EvC I1D	訂立
EvC ilK	訂貨
EvC dzC	訂購
EvC d1E	訂金
dMC jtL	計劃
dMC QcJ	計算
QVC DXC	訊問
iXK IgC	訓練
dHC ExD	記得
dHC hwD	記憶
dHC RJB	記敘
dHC XoB	記者
dHC bVL	記述
gnC lHC	訝異
dgL CfH	訣別
BpC DXC	訪問
BpC erD	訪客
afD CGG	設備
afD GvC	設定
afD QpB	設想
afD A9D	設法
afD I1D	設立
afD JHC	設置
afD dMC	設計
iJB dyB	許久
iJB elB	許可
iJB ElA	許多
iJB HqD	許諾
iJB gZK	許願
CsA IaK	評論
RHA cVA	詞人
RHA EgB	詞典
RHA gFG	詞義
QVI DXC	詢問
aHC GLA	試圖
aHC F2A	試探
aHC lDC	試用
aHC g4G	試驗
aHC E5B	試點
aHA cVA	詩人
aHA GcA	詩壇
aHA hHC	詩意
aHA DXA	詩文
aHA dlA	詩歌
aHA BfA	詩篇
aHA RHA	詩詞
aHA P1D	詩集
aHA FMB	詩體
dFN lHC	詭異
OfI auD	詮釋
jRK fsD	話劇
jRK h1E	話音
dTA QGB	該死
eSI jQA	詼諧
enI liC	誇耀
ZNC RHA	誓詞
lyB hVA	誘因
lyB GkC	誘導
lyB AZD	誘發
ZuA QVC	誠信
ZuA bVD	誠實
ZuA hHC	誠意
ZuA ebB	誠懇
ZuA cfA	誠然
gLC GkC	誤導
RDC GAD	誦讀
aNK CBD	說服
elK GqA	課堂
elK AaB	課本
elK LuA	課程
elK lJA	課餘
GhA XuB	調整
GhA IHB	調理
GhA NgD	調節
GhA dPB	調解
G3A BcC	談判
G3A jRK	談話
StC kyB	諍友
jQA ipD	諧謔
jQA h1E	諧音
ABC lKC	諷喻
HqD gZA	諾言
DyA VeD	謀殺
DyA VsA	謀生
DyA IpD	謀略
DMC EMB	謎底
e5A AFA	謙卑
dEB VGA	講師
dEB PlK	講座
dEB ZyC	講授
dEB fyA	講求
dEB dyC	講究
dEB jRK	講話
dEB bVL	講述
RoC DqD	謝幕
RoC hHC	謝意
RoC RoC	謝謝
dYB dHC	謹記
XwC cVA	證人
XwC ffF	證件
XwC bVD	證實
XwC dJC	證據
XwC DsA	證明
XwC aJA	證書
XwC DXD	證物
ALB QoB	譜寫
dsB AkC	警報
dsB TeD	警察
dsB FvD	警惕
dsB ZJC	警署
dsB QVC	警訊
dsB XDA	警鐘
BFC lKC	譬喻
luD AaB	譯本
gFG dnC	議價
gFG kXI	議員
gFG RuD	議席
gFG hcC	議案
efC StD	譴責
jLC UHB	護士
jLC IHB	護理
jLC AKA	護膚
jLC QAC	護送
GAD aJA	讀書
GAD AaB	讀本
GAD A9D	讀法
GAD XoB	讀者
GAD h1E	讀音
AfG GAB	變動
AfG inK	變化
AfG NzC	變奏
AfG jeK	變幻
AfG jvA	變形
AfG Q1A	變心
AfG FTC	變態
AfG jcK	變換
AfG A9D	變法
AfG lHC	變異
AfG VwD	變色
AfG DPC	變賣
AfG OfA	變遷
AfG dtD	變革
cpC PlK	讓座
icL DfF	豁免
icL cfA	豁然
GzC NpA	豆漿
GzC CeC	豆瓣
GzC CKB	豆腐
GzC izC	豆蔻
GzC ZFC	豆豉
GzC IGK	豆類
eIB XHB	豈止
hcI GzC	豌豆
ZKB f1E	豎琴
BBA AyC	豐富
BBA cVK	豐潤
BBA ZuD	豐碩
BBA lKA	豐腴
jkA LrD	豪宅
jkA VpB	豪爽
jkA DRC	豪邁
JJA CQA	豬排
JJA cBD	豬肉
CyB jlB	負荷
CyB StD	負責
CyB DfC	負面
PTA IwD	財力
PTA DKC	財務
PTA GcI	財團
PTA AyC	財富
PTA CrD	財帛
PTA XuC	財政
PTA DXD	財物
PTA bVA	財神
CVE eaK	貧困
CVE fBA	貧窮
CVE igL	貧血
ilK B1F	貨品
ilK CNC	貨幣
ilK dnC	貨架
ilK dIA	貨機
ilK fGO	貨櫃
ilK ecJ	貨款
ilK gZI	貨源
ilK DXD	貨物
ilK J6C	貨站
ilK bfI	貨船
ilK VwD	貨色
ilK kXK	貨運
AZC GCD	販毒
AZC kXK	販運
F2A I2A	貪婪
F2A dcI	貪官
dcI YfI	貫穿
JJB PaI	貯存
dIK PAD	貴族
A4F LHC	貶值
DPB dnA	買家
DPB DPC	買賣
FTC ecJ	貸款
F5D Q1A	貼心
F5D jgC	貼現
F5D aVA	貼身
DzC luD	貿易
DzC cfA	貿然
NGA AaB	資本
NGA IvD	資歷
NGA gZI	資源
NGA QVC	資訊
NGA d1E	資金
aoA JpC	賒帳
apB dqI	賞光
apB QvD	賞析
apB awD	賞識
DPC IwD	賣力
DPC dnA	賣家
DPC PlK	賣座
DPC IAC	賣弄
DPC E5B	賣點
PfC DPC	賤賣
AKC deA	賦閒
ELB LpA	賭場
ELB GLA	賭徒
ELB XKC	賭注
IOC lHB	賴以
dzC DXD	購物
dzC JHC	購置
dzC DPB	購買
QTC BjB	賽跑
QTC DnB	賽馬
luA ExD	贏得
YuD PHC	赤字
YuD dpD	赤腳
YuD IlJ	赤裸
YuD GkB	赤道
irD cfA	赫然
eHB ITA	起來
eHB TJA	起初
eHB duS	起勁
eHB hVA	起因
eHB UpA	起床
eHB CLC	起步
eHB gZI	起源
eHB ilJ	起火
eHB DnB	起碼
eHB LuA	起程
eHB gFG	起義
eHB IqD	起落
eHB QLC	起訴
eHB aVA	起身
eHB E5B	起點
KiA cVA	超人
KiA LHC	超值
KiA PgA	超前
KiA XFA	超支
KiA ZHA	超時
KiA d1H	超級
KiA grD	超額
OKA aNC	趨勢
GgD GqC	跌宕
GgD IqD	跌落
BjB CLC	跑步
BjB DnB	跑馬
dbA PgA	跟前
dbA NVC	跟進
dbA RFI	跟隨
ILC cVA	路人
ILC NHB	路子
ILC dvC	路徑
ILC ExA	路燈
ILC LuA	路程
